""
"Hello Alejandra, it's been so long! How are you?","¡Hola Alejandra, tanto tiempo! ¿Cómo estás?"
I'm exhausted! I still have jet lag.,¡Agotada! Todavía tengo desfase de horarios.
When did you arrive?,¿Cuándo llegaste al país?
Yesterday morning.,Ayer en la mañana.
How was the flight?,¿Qué tal el vuelo?
It was too long. It's been three years since I've come back. I've been homesick.,Demasiado largo. ¡Hace tres años que no venía! Estaba echando de menos.
Do you know your old friend Mario is celebrating his birthday?,¿Sabes que tu viejo amigo Mario celebra su cumpleaños?
No! Really? How old is he going to be?,¡No! ¿En serio? ¿Cuántos años cumple?
"Thirty, for which there's going to be a huge celebration.","Treinta, por lo que debería ser una celebración grande."
"And with a big celebration, there's going to be lots of meat and quality wine.","Y con una celebración grande, va a haber mucha carne y vino de calidad."
Tomorrow night (evening).,Mañana en la noche.
What time? I'm free at six.,¿A qué hora? Estoy libre a las seis.
"No, Alejandra, the people arrive much later.","No, Alejandra, la gente llega mucho más tarde."
You're right. But I haven't forgotten the most important thing: the old friends!,Tienes razón. Pero no me he olvidado de lo más importante: ¡los viejos amigos!
I'm going anyway! Do you know when it is?,¡Voy de todas maneras! ¿Sabes cuándo es?
Or have you already forgotten about latin time?,¿O ya te olvidaste del horario latino?
Congratulations!,¡Felicitaciones!
It's not easy to learn another language.,No es fácil aprender otra idioma.
"I know, because from when I was young I had to learn English, and English is much more difficult than Spanish!","Yo sé, porque de joven tenía que aprender inglés, ¡y el inglés es mucho más dificil que el español! Yo sé, porque de joven tenía que aprender inglés, ¡y el inglés es mucho más dificil que el español!"
"Good day everyone, I am Mauricio and it's a pleasure to be here again, to teach you more of my beautiful language.","Buenos días a todos, soy Mauricio, y es un placer estar aquí otra vez, para enseñarles más de mi bonito idioma."
"In the United States alone, there are 34 million people who speak Spanish at home.","Solo en los Estados Unidos, hay 34 millones de personas que hablan español en la casa."
"It will help you with trips, with your work, with your neighbors, and much more.","Te ayudará con viajes, con tu trabajo, con tus vecinos, y mucho más."
But you guys don't want more grammar or more rules.,Pero ustedes no querían más gramática o más reglas.
The most important thing is to understand and to communicate. Nothing else.,Lo más importante es entender y comunicarse. Nada más.
Ah! Amy! I almost forgot.,¡Ah! ¡Amy! Casi me lo olvidé.
We have a guest.,Tenemos una invitada.
"In the second level of Rocket Spanish, I introduced my mother to you, Carmen.","En el segundo nivel de Rocket Spanish, les presenté a mi mamá, Carmen."
"In this level, we invited a Chilean friend to participate with us.","En este nivel, invitamos a una amiga chilena a participar con nosotros."
"Alejandra Alamos is a journalist who is changing her focus, to education","Alejandra Alamos es una periodista que está cambiando de rubro, hacia la educación."
"Alejandra, welcome to Rocket Spanish!","Alejandra, bienvenida a Rocket Spanish!"
Thanks Mauricio.,"Gracias, Mauricio."
Hi everyone!,¡Hola a todos!
"I am Alejandra, and like Mauricio told you, I am also from Chile, specifically from Santiago.","Yo soy Alejandra, y como les dijo Mauricio, también soy de Chile, específicamente de Santiago."
"In the last two years, I have lived in Australia and New Zealand.","En los últimos dos años, he vivido en Australia y Nueva Zelanda."
