	¿Dónde está tu disfraz, Alejandra?	Where is your costume?
¿Disfraz? ¿Para qué necesitaría un disfraz?	Costume? Why would I need a costume?
¡Hoy comienza de Carnaval! ¿No te acuerdas?	Because today is the beginning of Carnaval! Don't you remember?
¿En serio? Claro, hoy es el sábado antes del Miércoles de Ceniza.	Really? Of course, today is the Saturday before Ash Wednesday.
Exacto, cuarenta días antes de la Pascua.	Exactly, forty days before Easter.
Cuando niña, me encantaba el Carnaval.	When I was a child, I used to love Carnaval.
Y ahora, como adulto, ¡puedes disfrutar del trago y las fiestas también!	And now, as an adult, you can also enjoy the drinking and parties!
¿Vas a marchar en el desfile?	Are you going to march in the parade?
Por supuesto. ¿No ves mi disfraz?	Of course. Can't you see my costume?
Ummm. ¿Qué eres?	Ummm. What are you?
Un detective. ¿No se nota?	A detective. Isn't it obvious?
No mucho. Pareces oficinista.	Not much. You look like an office worker.
¡Oficinista!	An office worker!
Te falta ponerte un sobrero café y una identificación en la solapa.	You're missing a brown hat and an ID on your lapel.
¡Ya he gastado demasiado en este disfraz!	I've already spent so much for this costume!
Lo siento, pero los mejores atuendos se encuentran en el Desfile de Escuelas de Samba en Río de Janeiro.	I'm sorry but the best outfits are found in the parade of the Samba Schools in Rio de Janeiro.
Que pena que no seamos Cariocas.	It's a shame that we're not 'Cariocas' (from Rio de Janeiro).
¿Existe otra forma que no sea el desfile y trajes especiales?	Is there another way other than the parade and special outfits?
En algunas regiones de Argentina, desentierran un diablito de trapo.	In some regions of Argentina, they dig up a cloth figurine of a devil.
¡Qué extraño!	How strange!
Y en Ecuador, tiran bombitas de agua.	And in Ecuador, they throw water bombs.
Parece que el carnaval enorme y tradicional solo está en Brasil.	Sounds like the biggest traditional Carnaval celebration is only in Brazil.
O en Barranquilla, Colombia.	Or in Barranquilla, Colombia.
Los desfiles, el baile, la música...	The parades, dancing, music...
¿No se nota que es un buen atuendo?	Isn't it obvious that it's a good outfit?
Bastante lejos de aquí.	Very far from here.
Sé que hay algunos países que celebran el Carnaval de manera distinta.	I know that there are some countries that celebrate Carnaval differently.
Pero por lo menos tenemos un desfile.	But at least we have a parade.
Si nos quedamos conversando, nos perderemos el desfile. ¡Vamos!	If we stay chatting, we'll miss the parade. Let's go!
La celebración más famosa de Carnaval se encuentra en Río de Janeiro, Brasil.	The most famous celebration of Carnaval is found in Rio de Janeiro, Brazil.
¿Qué necesitas para marchar en un desfile de Carnaval?	What do you need to march in a Carnaval parade?
Necesitas un disfraz para marchar en un desfile de Carnaval.	You need a costume to march in a Carnaval parade.
¡Felicitaciones! Ya terminaste la primera unidad de Rocket en Español Platino.	Congratulations! You have finished the first unit of Rocket Spanish Platinum!
Y más aventuras nos esperan.	And more adventures await us.
En el próximo nivel, veremos distintos aspectos de la cultura latinoamericana, como comida, el fútbol, los mercados, y más.	In the next level, we will see distinct aspects of Latin American culture, like food, soccer, markets, and more.
Gracias a Dios que no me disfracé. Estoy mucho más feliz ser una espectadora.	Thank God that I didn't dress up. I'm much happier being a spectator.
Lo siento, Mauricio.	I'm sorry, Mauricio.
alquilar un disfraz	to rent a costume
Maurico pensó que se vistió como un detective … pero parece un oficinista.	Mauricio thought that he looked like a detective…but he looked like an office worker.
Es un espectáculo inolvidable, con miles de personas cantando la samba y bailando al mismo tiempo.	It's an unforgettable spectacle, with thousands of people singing samba and dancing at the same time.
Que pena que sea tan lejos de aquí.	What a shame that it's so far from here.
Prefiero ser chilena, personalmente.	I prefer to be Chilean, personally.
Por lo menos tenemos un desfile. Sé que hay algunos países que celebran el Carnaval de manera distinta.	At least we have a parade. I know that there are some countries that celebrate Carnaval in a distinct way.
¿Y qué pasa cuando se acaba el carnaval?	And what happens when Carnaval ends?
El carnaval de Barranquilla fue declarado patrimonio de la humanidad en 2003.	Carnaval in Barranquilla was declared patrimony of humanity in 2003.
Y tiene elementos africanos e indígenas. Tengo pensado asistir algún día.	And it has African and indigenous elements. I have hopes to attend one day.
Sí. Por ejemplo, perdiste el tren porque no llegaste al tiempo.	Yes. For example, you lost the train because you didn't arrive on time.
Sabes cuando es Carnaval, porque llega antes de un miércoles importante. ¿Cómo se llama ese miércoles?	Do you know when Carnaval is, because it comes before an important Wednesday. What is this Wednesday called?
Ese miércoles se llama Miércoles de Ceniza.	That Wednesday is called Ash Wednesday.
¿Cuánto dura la Cuaresma?	How long does Lent last?
La Cuaresma dura cuarenta días.	Lent lasts forty days.
¿Cómo se celebra el Carnaval?	How is Carnaval celebrated?
Se celebra el Carnaval con desfiles, baile, y música	Carnaval is celebrated with parades, dance, and music.
¿Dónde es la celebración más espectacular de Carnaval?	Where is the most spectacular celebration of Carnaval?
Si quieres saber la fecha exacta, es cuarenta días antes de la Pascua.	If you want to know the exact date, it's forty days before Easter.
Durante la cuaresma, los católicos no deben tomar alcohol ni comer carnes.	During Lent, Catholics should not drink alcohol or eat meat.
El Carnaval es la despedida a estos placeres antes de cuaresma.	Carnaval is the losing of these pleasures before Lent.
Creo que la mayoría de los cristianos ya no cambian su rutina durante la cuaresma.	I think the majority of Christians don't change their routine during Lent.
Es verdad. En los últimos años, el carnaval se ha transformado en la excusa para emborracharse y disfrazarse.	It's true. In the last few years, the Carnaval has transformed into an excuse for getting drunk and dressing up.
El Carnaval es una fiesta católica.	Carnaval is a Catholic party.
Mauricio marchó en un desfile disfrazado.	Mauricio marched in a parade with a costume.
Alejandra se olvidó de disfrazarse.	Alejandra forgot to dress up.
Me corté el pelo ayer. ¿No se nota?	I cut my hair yesterday. Can't you tell?
Se nota el acento chileno de Alejandra.	Alejandra's Chilean accent is noticeable.
Se nota la diferencia entre los dos acentos.	The difference between the two accents is noticeable.
Estoy disfrazado de detective. ¿No se nota?	I'm dressed up as a detective. Can't you tell?
Puedes ir al desfile como oficinista. Te ayudo.	You can go to the parade as an office worker. I'll help you.
Tengo aquí un sombrero café y vemos lo que podemos usar como una identificación…	I have here a brown hat and we see that which we can use as identification…
Dónde habrá un papel… Ya perfecto!	Where is [a piece of] paper... Here, perfect!
No voy como oficinista. Déjame sacarlo … [muttering to himself] identificación, ¡ha! Soy detective, no un mandadero…	I'm not going as an office worker. Let me take it… identification, ha! I'm a detective, not a messenger…
Buena idea. Pero en la chaqueta, no la solapa.	Good idea. But in the jacket, not in the lapel.
No, alquilé el disfraz de una tienda. Me costó una fortuna. ¿No se nota que es un buen atuendo?	No, I rented the costume from a store. It cost me a fortune. Can't you tell it's a good outfit?
Los precios son altos durante el Carnaval. Es el único que les quedaba.	Prices are high during Carnaval. It's the only one they had left.
Bienvenidos a Lección 4 de la primera unidad de Rocket Spanish Platinum en Español.	Welcome to Lesson 4 of the first unit of Rocket Spanish Platinum in Spanish.
En que conoceremos la fiesta más loca del mundo latino: el Carnaval.	In which we get to know the craziest party in the Latin world: Carnaval.
¡Y nadie celebra con más energía el carnaval que yo! … Bueno, y mis compañeros latinos.	And nobody celebrates carnaval with more energy than me!...Well, and my Latin friends.
En especial si vas a estar en Sudamérica por esas fechas. ¡Está prohibido ser aburrido!	Especially if you are going to be in South America for these dates. It's prohibited to be bored!
Sí, dínos. ¿Cómo te fue en el desfile? porque yo no vi nada.	Yes, tell us. How was the parade? Because I didn't see anything.
Había demasiada gente. No pude acercarme lo suficiente.	There were too many people. I couldn't get close enough.
Yo tengo la altura ideal para estos eventos.	I have the ideal height for these events.
Pero me puedo infiltrar entre la multitude, algo que los altos no pueden hacer.	But I can infiltrate among the multitude, something that tall people can't do.
No tenía disfraz.	I didn't have a costume.
¿Para qué quieres mi teléfono?	Why do you want my telephone number?
No entiendo para qué me trajiste aquí.	I don't understand why you brought me here.
Exacto. Carnaval comienza el sábado antes del Miércoles de Ceniza.	Exactly. Carnaval starts the Saturday before Ash Wednesday.
A los católicos, el sacerdote les hace una marca de ceniza en la frente.	To Catholics, the priest makes an ash mark on the forehead.
Como recordatorio de que todos nos convertiremos en ceniza.	As a reminder that all of us become ash.
Es el primera día de la Cuaresma.	It's the first day of Lent.
No es un día fioa. A veces ocurre en febrero, a veces en marzo.	It's not a fixed date. Sometimes it's in February, sometimes in March.
Depende de la fecha de la Pascua.	It depends on the date of Easter.
